rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
62,Black|Purple|Tan|Red,#080A0D|#6C47B2|#A79E82|#E72F1D,34.6276,27.8763,26.5113,25.4606,24.1516,86.3944,26.6685
63,Blue|Purple|Lime Green|Orange,#003776|#6C47B2|#D5D701|#F67405,30.7998,27.7691,26.7269,25.6096,23.9678,64.6481,26.6894
64,Polymaker Teal|Purple|Orange|Yellow,#4CC0C7|#6C47B2|#F67405|#FFE800,30.6529,27.7974,26.7923,25.6856,24.1016,67.0280,26.7415
65,Purple|Grey|Orange|Yellow,#6C47B2|#8C9099|#F67405|#FFE800,30.7295,27.8859,26.8498,25.7105,24.1121,67.8259,26.7982
66,Azure Blue|Purple|Lime Green|Red,#0066D9|#6C47B2|#D5D701|#E72F1D,31.4347,27.8769,26.7996,25.7197,24.2583,61.0504,26.7983
67,Dark Grey|Purple|Lime Green|Orange,#485259|#6C47B2|#D5D701|#F67405,31.1130,27.8876,26.8102,25.7119,24.0991,64.1803,26.7998
68,Blue|Polymaker Teal|Purple|Red,#003776|#4CC0C7|#6C47B2|#E72F1D,31.9584,27.9647,26.7990,25.6501,24.0890,90.2186,26.8074
69,Purple|Red|Pink|Orange,#6C47B2|#E72F1D|#F1A1AF|#F67405,31.4315,27.9172,26.7834,25.7509,24.5956,92.5800,26.8341
70,Brown|Purple|Orange|Yellow,#55331A|#6C47B2|#F67405|#FFE800,34.1153,28.2039,26.7598,25.5194,24.0134,69.4546,26.8616
71,Green|Black|Purple|Orange,#06924D|#080A0D|#6C47B2|#F67405,32.9123,27.8153,26.9128,25.9556,24.1484,65.1938,26.8854
72,Dark Olive Drab|Purple|Orange|Yellow,#575B54|#6C47B2|#F67405|#FFE800,31.3573,27.9811,26.8566,25.7989,24.4080,64.1255,26.8900
73,Brown|Purple|Lime Green|Orange,#55331A|#6C47B2|#D5D701|#F67405,34.1314,28.2274,26.8199,25.5581,23.8583,67.9612,26.8928
74,Green|Purple|Lime Green|Orange,#06924D|#6C47B2|#D5D701|#F67405,30.1703,27.7004,26.9236,26.0854,24.6947,65.4726,26.8929
75,Black|Polymaker Teal|Purple|Red,#080A0D|#4CC0C7|#6C47B2|#E72F1D,35.0641,28.2310,26.7769,25.6000,24.1446,90.6054,26.9155
76,Dark Grey|Purple|Magenta|Yellow,#485259|#6C47B2|#F24574|#FFE800,33.5717,28.1987,26.7789,25.6552,24.0144,70.6798,26.9270
77,Purple|Tan|Orange|Yellow,#6C47B2|#A79E82|#F67405|#FFE800,30.8952,28.0343,26.9830,25.8516,24.2756,69.4761,26.9429
78,Green|Black|Purple|Magenta,#06924D|#080A0D|#6C47B2|#F24574,36.6144,28.1578,26.8502,25.7855,23.8738,81.7050,26.9717
79,Blue|Purple|Tan|Red,#003776|#6C47B2|#A79E82|#E72F1D,31.8680,28.0333,26.9739,25.9858,24.6135,86.2737,27.0096
80,Purple|Red|Magenta|Orange,#6C47B2|#E72F1D|#F24574|#F67405,31.6918,28.1119,26.9644,25.9095,24.7392,96.2755,27.0107
81,Dark Grey|Purple|Red|Orange,#485259|#6C47B2|#E72F1D|#F67405,31.9353,28.1543,26.9820,25.9471,24.7652,71.1948,27.0507
82,Purple|Pink|Orange|Yellow,#6C47B2|#F1A1AF|#F67405|#FFE800,31.2717,28.2198,27.1201,25.9385,24.2851,73.3849,27.0791
83,Purple|Cold White|Orange|Yellow,#6C47B2|#D9DFE5|#F67405|#FFE800,31.1770,28.1764,27.1172,25.9909,24.3755,71.8084,27.0837
84,Dark Olive Drab|Purple|Lime Green|Orange,#575B54|#6C47B2|#D5D701|#F67405,31.6340,28.2280,27.0968,25.9685,24.3593,64.7843,27.0982
85,Black|Purple|Red|White,#080A0D|#6C47B2|#E72F1D|#EBF7FF,35.3057,28.4512,26.9991,25.8748,24.5568,91.1826,27.1630
86,Blue|Purple|Red|White,#003776|#6C47B2|#E72F1D|#EBF7FF,32.4556,28.3516,27.1351,25.9785,24.4734,91.6936,27.1650
87,Purple|White|Orange|Yellow,#6C47B2|#EBF7FF|#F67405|#FFE800,31.3111,28.3163,27.2608,26.1062,24.4075,73.1756,27.2112
88,Brown|Purple|Red|Orange,#55331A|#6C47B2|#E72F1D|#F67405,33.9561,28.4227,27.0934,26.0310,24.8949,76.2028,27.2268
89,Green|Polymaker Teal|Purple|Red,#06924D|#4CC0C7|#6C47B2|#E72F1D,31.5567,28.0451,27.2483,26.4651,25.1007,77.2169,27.2551
90,Green|Purple|Cold White|Red,#06924D|#6C47B2|#D9DFE5|#E72F1D,31.5554,28.0573,27.2583,26.4733,25.1116,77.2169,27.2653
91,Green|Purple|Tan|Red,#06924D|#6C47B2|#A79E82|#E72F1D,31.5563,28.0587,27.2596,26.4750,25.1146,77.2169,27.2669
92,Green|Purple|Grey|Red,#06924D|#6C47B2|#8C9099|#E72F1D,31.5435,28.0566,27.2633,26.4780,25.1119,77.2169,27.2673
93,Green|Purple|Red|Pink,#06924D|#6C47B2|#E72F1D|#F1A1AF,31.5476,28.0578,27.2635,26.4787,25.1143,77.2169,27.2682
94,Green|Purple|Red|White,#06924D|#6C47B2|#E72F1D|#EBF7FF,31.5509,28.0723,27.2801,26.4890,25.1111,77.2208,27.2806
95,Black|Dark Olive Drab|Purple|Red,#080A0D|#575B54|#6C47B2|#E72F1D,35.0594,28.4790,27.1162,26.1092,25.0283,90.7129,27.2941
96,Polymaker Teal|Purple|Lime Green|Orange,#4CC0C7|#6C47B2|#D5D701|#F67405,31.0819,28.3286,27.3797,26.2751,24.5265,65.9408,27.3019
