rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
2109,Blue|Grey|Red|Yellow,#003776|#8C9099|#E72F1D|#FFE800,25.6049,16.2790,14.6726,13.6925,12.9931,32.8354,14.9857
2110,Green|Dark Grey|Brown|Grey,#06924D|#485259|#55331A|#8C9099,22.7639,15.7414,14.5951,14.2390,14.3550,34.7528,14.9902
2111,Blue|Black|Dark Grey|Yellow,#003776|#080A0D|#485259|#FFE800,25.3394,16.0551,14.6020,13.9319,13.6646,34.0026,14.9935
2112,Dark Grey|Brown|Purple|Pink,#485259|#55331A|#6C47B2|#F1A1AF,20.6606,15.3374,14.7238,14.6532,14.8615,33.6520,14.9953
2113,Dark Grey|Brown|Pink|Magenta,#485259|#55331A|#F1A1AF|#F24574,20.6658,15.3442,14.7312,14.6607,14.8690,33.6646,15.0025
2114,Black|Brown|Grey|Magenta,#080A0D|#55331A|#8C9099|#F24574,22.4286,15.6566,14.6165,14.3636,14.4801,36.8690,15.0101
2115,Black|Purple|White|Yellow,#080A0D|#6C47B2|#EBF7FF|#FFE800,31.8527,16.7388,14.4114,13.2858,12.8198,42.9928,15.0123
2116,Blue|Grey|Olive Green|Cold White,#003776|#8C9099|#948902|#D9DFE5,38.3449,17.3737,14.2393,12.6511,11.8261,35.4253,15.0124
2117,Black|Dark Grey|Brown|Pink,#080A0D|#485259|#55331A|#F1A1AF,20.4312,15.2654,14.7350,14.7611,15.0286,33.6570,15.0132
2118,Blue|Green|Brown|Grey,#003776|#06924D|#55331A|#8C9099,23.0787,15.8742,14.5999,14.1529,14.1889,34.4881,15.0136
2119,Azure Blue|Dark Grey|Brown|Pink,#0066D9|#485259|#55331A|#F1A1AF,20.6773,15.3560,14.7439,14.6768,14.8881,33.6524,15.0164
2120,Blue|Polymaker Teal|Red|Yellow,#003776|#4CC0C7|#E72F1D|#FFE800,28.0632,16.5126,14.5595,13.5212,12.8966,34.0717,15.0169
2121,Blue|Green|Dark Grey|Pink,#003776|#06924D|#485259|#F1A1AF,24.2749,16.2678,14.7332,13.7727,13.0819,29.7179,15.0203
2122,Green|Black|Olive Green|Cold White,#06924D|#080A0D|#948902|#D9DFE5,39.9263,18.1639,13.8719,11.8802,11.2060,36.7346,15.0220
2123,Blue|Olive Green|Tan|Lime Green,#003776|#948902|#A79E82|#D5D701,27.5135,16.4273,14.6876,13.6175,12.8242,32.0770,15.0224
2124,Azure Blue|Dark Grey|Olive Green|White,#0066D9|#485259|#948902|#EBF7FF,29.0687,16.5414,14.5625,13.5162,12.9054,32.5454,15.0288
2125,Azure Blue|Dark Olive Drab|Red|Magenta,#0066D9|#575B54|#E72F1D|#F24574,22.4921,16.0237,14.7852,14.0431,13.6008,55.6891,15.0334
2126,Azure Blue|Dark Olive Drab|Purple|Red,#0066D9|#575B54|#6C47B2|#E72F1D,22.4922,16.0232,14.7863,14.0461,13.6067,55.6893,15.0347
2127,Green|Grey|Olive Green|Red,#06924D|#8C9099|#948902|#E72F1D,27.6465,16.9158,14.7567,13.1542,11.7210,38.8770,15.0350
2128,Blue|Dark Grey|Brown|Pink,#003776|#485259|#55331A|#F1A1AF,20.7050,15.3648,14.7597,14.7079,14.9284,33.6516,15.0363
2129,Blue|Lime Green|Pink|Yellow,#003776|#D5D701|#F1A1AF|#FFE800,27.9454,16.6413,14.6693,13.4387,12.5983,33.0976,15.0400
2130,Green|Black|Dark Grey|Yellow,#06924D|#080A0D|#485259|#FFE800,24.1031,15.9480,14.7004,14.1357,13.9068,38.2787,15.0419
2131,Black|Dark Grey|Lime Green|Yellow,#080A0D|#485259|#D5D701|#FFE800,24.0419,15.9643,14.7197,14.1232,13.8501,37.7944,15.0437
2132,Blue|Black|Olive Green|Magenta,#003776|#080A0D|#948902|#F24574,37.2783,18.0670,13.8999,12.0308,11.6024,48.8084,15.0489
2133,Grey|Olive Green|Red|Magenta,#8C9099|#948902|#E72F1D|#F24574,29.1569,17.0481,14.7425,13.0546,11.5762,40.6200,15.0513
2134,Green|Polymaker Teal|Grey|Red,#06924D|#4CC0C7|#8C9099|#E72F1D,26.6502,16.7991,14.7539,13.3071,12.0630,38.1085,15.0531
2135,Azure Blue|Dark Grey|Dark Olive Drab|Red,#0066D9|#485259|#575B54|#E72F1D,22.4318,15.9901,14.7924,14.1227,13.7720,55.7017,15.0564
2136,Green|Dark Grey|Grey|Pink,#06924D|#485259|#8C9099|#F1A1AF,23.6822,16.2421,14.7956,13.8756,13.2088,29.4190,15.0588
2137,Blue|Azure Blue|Orange|Yellow,#003776|#0066D9|#F67405|#FFE800,27.3103,16.6582,14.6998,13.4647,12.6033,31.8594,15.0614
2138,Azure Blue|Black|Purple|Olive Green,#0066D9|#080A0D|#6C47B2|#948902,42.3868,18.7912,13.8942,11.3385,10.1988,45.3875,15.0649
2139,Blue|Black|Brown|Lime Green,#003776|#080A0D|#55331A|#D5D701,26.4332,16.6745,14.4649,13.4726,13.2288,36.6960,15.0735
2140,Black|Dark Olive Drab|Purple|Yellow,#080A0D|#575B54|#6C47B2|#FFE800,22.3169,16.2128,14.8613,13.9445,13.3476,39.9440,15.0787
2141,Azure Blue|Green|Grey|Red,#0066D9|#06924D|#8C9099|#E72F1D,26.9541,16.8230,14.7808,13.3380,12.1341,37.7302,15.0805
2142,Azure Blue|Dark Grey|Cold White|Yellow,#0066D9|#485259|#D9DFE5|#FFE800,23.7135,16.3125,14.8034,13.8627,13.2982,30.2347,15.0876
2143,Azure Blue|Dark Grey|Brown|Orange,#0066D9|#485259|#55331A|#F67405,21.5665,15.5798,14.7804,14.6059,14.7882,46.3483,15.0929
2144,Black|Dark Grey|Lime Green|Cold White,#080A0D|#485259|#D5D701|#D9DFE5,24.7422,16.0909,14.7303,14.0967,13.8223,26.0722,15.0938
2145,Azure Blue|Brown|Dark Olive Drab|Cold White,#0066D9|#55331A|#575B54|#D9DFE5,22.5904,15.8677,14.7356,14.3205,14.3156,36.1748,15.0941
2146,Blue|Dark Olive Drab|Lime Green|Cold White,#003776|#575B54|#D5D701|#D9DFE5,22.0787,16.0274,14.8439,14.1641,13.7787,28.0645,15.0958
2147,Blue|Dark Grey|Brown|Olive Green,#003776|#485259|#55331A|#948902,28.9114,16.8451,14.4220,13.3531,13.1585,43.4612,15.0991
2148,Blue|Azure Blue|Dark Olive Drab|Red,#003776|#0066D9|#575B54|#E72F1D,22.5884,16.0555,14.8501,14.1708,13.7963,55.6928,15.1132
2149,Black|Dark Grey|Olive Green|Yellow,#080A0D|#485259|#948902|#FFE800,24.5332,16.1159,14.7663,14.1134,13.8238,37.9715,15.1146
2150,Black|Dark Grey|Brown|Olive Green,#080A0D|#485259|#55331A|#948902,27.9876,16.6802,14.4369,13.5501,13.4858,43.8014,15.1151
2151,Black|Brown|Dark Olive Drab|Grey,#080A0D|#55331A|#575B54|#8C9099,21.3077,15.5575,14.7840,14.6738,14.9360,34.6339,15.1156
2152,Blue|Dark Grey|Grey|Yellow,#003776|#485259|#8C9099|#FFE800,24.2975,16.2429,14.8402,13.9895,13.4237,31.2625,15.1162
2153,Green|Grey|Olive Green|Magenta,#06924D|#8C9099|#948902|#F24574,30.8042,17.2917,14.7253,12.9440,11.4455,38.7388,15.1178
2154,Green|Polymaker Teal|Brown|Grey,#06924D|#4CC0C7|#55331A|#8C9099,22.7062,15.8995,14.7685,14.3448,14.3135,34.8029,15.1221
2155,Blue|Cold White|Pink|Yellow,#003776|#D9DFE5|#F1A1AF|#FFE800,27.3652,16.5391,14.7447,13.7212,13.1010,32.9110,15.1301
2156,Dark Grey|Polymaker Teal|Dark Olive Drab|Yellow,#485259|#4CC0C7|#575B54|#FFE800,20.7014,15.8225,14.9532,14.4466,14.1576,27.9782,15.1345
2157,Azure Blue|Dark Olive Drab|Lime Green|White,#0066D9|#575B54|#D5D701|#EBF7FF,20.8593,15.9169,14.9528,14.3608,14.0088,26.5255,15.1389
2158,Azure Blue|Black|Dark Olive Drab|Olive Green,#0066D9|#080A0D|#575B54|#948902,27.1766,16.5823,14.6558,13.7102,13.2925,36.8913,15.1462
2159,Green|Dark Grey|Dark Olive Drab|Yellow,#06924D|#485259|#575B54|#FFE800,21.2984,16.0196,14.9970,14.2804,13.7420,37.8848,15.1500
2160,Azure Blue|Dark Grey|Olive Green|Yellow,#0066D9|#485259|#948902|#FFE800,26.6507,16.6486,14.7687,13.6517,12.9937,31.4561,15.1502
2161,Dark Grey|Dark Olive Drab|Lime Green|Yellow,#485259|#575B54|#D5D701|#FFE800,21.3056,16.0242,14.9999,14.2813,13.7416,37.8855,15.1528
2162,Purple|Grey|Olive Green|Magenta,#6C47B2|#8C9099|#948902|#F24574,37.7014,17.9844,14.4357,12.3253,10.9387,43.8274,15.1548
2163,Dark Grey|Dark Olive Drab|Olive Green|Yellow,#485259|#575B54|#948902|#FFE800,21.7031,16.0775,14.9793,14.2325,13.6860,37.9347,15.1550
2164,Dark Grey|Brown|Purple|Olive Green,#485259|#55331A|#6C47B2|#948902,28.1433,16.8431,14.5289,13.4771,13.2895,43.8521,15.1601
2165,Brown|Purple|Grey|Magenta,#55331A|#6C47B2|#8C9099|#F24574,22.6843,15.9412,14.8095,14.3851,14.3564,37.0158,15.1631
2166,Blue|Purple|Lime Green|Magenta,#003776|#6C47B2|#D5D701|#F24574,31.6004,17.2732,14.6201,13.0552,12.0009,38.6436,15.1642
2167,Blue|Tan|Lime Green|Pink,#003776|#A79E82|#D5D701|#F1A1AF,24.9682,16.4280,14.9251,13.9040,13.0992,32.1902,15.1660
2168,Blue|Brown|Grey|Magenta,#003776|#55331A|#8C9099|#F24574,22.7111,15.8986,14.7968,14.4561,14.5055,36.8657,15.1773
2169,Blue|Dark Grey|White|Yellow,#003776|#485259|#EBF7FF|#FFE800,23.9702,16.2793,14.9125,14.0900,13.5979,28.8227,15.1846
2170,Black|Dark Grey|Lime Green|White,#080A0D|#485259|#D5D701|#EBF7FF,29.7648,16.4603,14.6713,13.9092,13.6394,28.0267,15.1847
2171,Black|Polymaker Teal|Brown|Lime Green,#080A0D|#4CC0C7|#55331A|#D5D701,24.9265,16.5754,14.5640,13.7992,13.7829,30.7460,15.1873
2172,Dark Grey|Brown|Grey|Magenta,#485259|#55331A|#8C9099|#F24574,22.2473,15.7836,14.8298,14.5934,14.7287,36.9859,15.1885
2173,Dark Grey|Purple|Olive Green|White,#485259|#6C47B2|#948902|#EBF7FF,37.8076,17.9016,14.3486,12.4874,11.5163,43.4566,15.1945
2174,Blue|Lime Green|Red|Yellow,#003776|#D5D701|#E72F1D|#FFE800,30.5448,16.9949,14.6579,13.3959,12.5190,37.9259,15.1954
2175,Green|Polymaker Teal|Brown|Lime Green,#06924D|#4CC0C7|#55331A|#D5D701,25.1750,16.7259,14.5867,13.6689,13.5246,30.9203,15.1974
2176,Azure Blue|Green|Cold White|Red,#0066D9|#06924D|#D9DFE5|#E72F1D,28.8799,16.9646,14.7127,13.4346,12.6112,36.5937,15.1996
2177,Polymaker Teal|Brown|Olive Green|Lime Green,#4CC0C7|#55331A|#948902|#D5D701,25.2276,16.7328,14.5894,13.6690,13.5165,30.8663,15.2009
2178,Green|Purple|Olive Green|Magenta,#06924D|#6C47B2|#948902|#F24574,37.2705,18.3717,14.5283,12.0402,10.3517,43.1656,15.2060
2179,Azure Blue|Black|Dark Grey|Orange,#0066D9|#080A0D|#485259|#F67405,22.5500,15.7752,14.8622,14.6483,14.7802,46.3196,15.2118
2180,Blue|Dark Olive Drab|Grey|Lime Green,#003776|#575B54|#8C9099|#D5D701,21.9687,16.0976,14.9956,14.3307,13.8988,27.9432,15.2141
2181,Dark Grey|Brown|Dark Olive Drab|Grey,#485259|#55331A|#575B54|#8C9099,21.3025,15.6759,14.9096,14.7531,14.9654,34.6481,15.2145
2182,Dark Grey|Brown|Red|Pink,#485259|#55331A|#E72F1D|#F1A1AF,20.8658,15.5535,14.9439,14.8816,15.1019,33.8426,15.2176
2183,Blue|Lime Green|Magenta|Yellow,#003776|#D5D701|#F24574|#FFE800,30.4864,17.0965,14.6935,13.3391,12.4743,36.4657,15.2178
2184,Dark Grey|Olive Green|Lime Green|Cold White,#485259|#948902|#D5D701|#D9DFE5,24.9516,16.3753,14.8738,14.0665,13.6234,27.0764,15.2209
2185,Purple|Olive Green|Tan|Red,#6C47B2|#948902|#A79E82|#E72F1D,33.5533,17.5832,14.6258,12.8639,11.7021,45.4932,15.2236
2186,Azure Blue|Brown|Grey|Magenta,#0066D9|#55331A|#8C9099|#F24574,22.7098,15.9546,14.8527,14.4936,14.5293,38.0339,15.2241
2187,Dark Grey|Purple|Grey|Olive Green,#485259|#6C47B2|#8C9099|#948902,40.9245,18.5487,14.2679,11.9224,10.7205,45.2629,15.2355
2188,Green|Grey|Tan|Red,#06924D|#8C9099|#A79E82|#E72F1D,22.6676,16.5222,15.1320,13.9497,12.8104,38.5204,15.2359
2189,Green|Black|Magenta|Yellow,#06924D|#080A0D|#F24574|#FFE800,33.3246,17.2456,14.4481,13.2538,12.9670,38.7327,15.2497
2190,Azure Blue|Green|Olive Green|Magenta,#0066D9|#06924D|#948902|#F24574,32.9876,17.6992,14.7291,12.8094,11.3749,38.8515,15.2543
2191,Purple|Olive Green|Cold White|Magenta,#6C47B2|#948902|#D9DFE5|#F24574,46.4665,19.0320,14.1152,11.4881,10.1887,47.1106,15.2601
2192,Blue|Polymaker Teal|Lime Green|Pink,#003776|#4CC0C7|#D5D701|#F1A1AF,28.5006,16.8529,14.8523,13.6682,12.9264,33.8162,15.2605
2193,Blue|Brown|Dark Olive Drab|Grey,#003776|#55331A|#575B54|#8C9099,21.4936,15.7650,14.9403,14.7571,14.9568,34.6537,15.2611
2194,Green|Grey|Lime Green|Red,#06924D|#8C9099|#D5D701|#E72F1D,25.0751,16.7429,15.0426,13.7844,12.7083,37.5139,15.2637
2195,Blue|Pink|Magenta|Yellow,#003776|#F1A1AF|#F24574|#FFE800,27.7559,16.7950,14.9024,13.7382,12.9376,32.9307,15.2666
2196,Dark Olive Drab|Purple|Cold White|Yellow,#575B54|#6C47B2|#D9DFE5|#FFE800,22.5451,16.4134,15.0179,14.1240,13.5585,41.2746,15.2687
