rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
91,Brown|Pink|Orange,#55331A|#F1A1AF|#F67405,18.8998,10.1717,8.4358,7.4915,7.0424,20.7890,8.8316
92,Dark Olive Drab|Pink|Orange,#575B54|#F1A1AF|#F67405,16.5653,9.9204,8.5949,7.7510,7.1793,22.9461,8.8357
93,Black|Olive Green|Red,#080A0D|#948902|#E72F1D,30.1574,11.7817,7.9600,5.8959,5.1034,30.8213,8.8388
94,Dark Olive Drab|Magenta|Orange,#575B54|#F24574|#F67405,16.6526,9.9457,8.6090,7.7568,7.1943,23.0874,8.8512
95,Dark Olive Drab|Cold White|Orange,#575B54|#D9DFE5|#F67405,16.5657,9.9279,8.6187,7.7798,7.2092,23.1348,8.8539
96,Brown|Red|Orange,#55331A|#E72F1D|#F67405,18.9546,10.2144,8.4771,7.5352,7.0922,20.9150,8.8748
97,Dark Olive Drab|Purple|Orange,#575B54|#6C47B2|#F67405,16.7439,10.0480,8.7087,7.8690,7.3397,24.4976,8.9585
98,Azure Blue|Dark Olive Drab|Orange,#0066D9|#575B54|#F67405,16.7309,10.0348,8.7204,7.9039,7.3812,23.7399,8.9694
99,Azure Blue|Brown|Orange,#0066D9|#55331A|#F67405,19.0819,10.2674,8.5640,7.7246,7.3974,21.1959,8.9960
100,Green|Dark Olive Drab|Red,#06924D|#575B54|#E72F1D,20.0378,10.6484,8.6095,7.3671,6.6393,25.2943,9.0078
101,Dark Grey|Brown|Olive Green,#485259|#55331A|#948902,21.8021,10.7384,8.4602,7.2902,6.8916,27.1482,9.0143
102,Brown|Grey|Lime Green,#55331A|#8C9099|#D5D701,20.1420,10.5866,8.5655,7.4497,6.8911,21.7309,9.0181
103,Black|Brown|Olive Green,#080A0D|#55331A|#948902,21.9121,10.7123,8.4132,7.3407,7.0039,26.5913,9.0265
104,Dark Grey|Lime Green|Magenta,#485259|#D5D701|#F24574,21.4662,10.9780,8.5753,7.0894,6.2347,23.8332,9.0337
105,Dark Grey|Dark Olive Drab|Orange,#485259|#575B54|#F67405,16.6147,10.0250,8.7829,8.0507,7.6022,20.9998,9.0379
106,Brown|Grey|Olive Green,#55331A|#8C9099|#948902,22.1077,10.9765,8.5394,7.1544,6.4898,27.4515,9.0655
107,Black|Brown|Orange,#080A0D|#55331A|#F67405,20.2809,10.2841,8.6289,7.8998,7.6786,21.4113,9.0919
108,Dark Grey|Magenta|Yellow,#485259|#F24574|#FFE800,20.6283,10.8232,8.6481,7.3647,6.6653,23.2620,9.0940
109,Dark Grey|Brown|Lime Green,#485259|#55331A|#D5D701,20.0116,10.5205,8.6230,7.7063,7.4170,21.4655,9.1134
110,Brown|Grey|Orange,#55331A|#8C9099|#F67405,18.3074,10.2482,8.7404,7.9902,7.6685,20.4164,9.1192
111,Black|Brown|Lime Green,#080A0D|#55331A|#D5D701,20.3005,10.5436,8.6137,7.7487,7.4695,21.8570,9.1462
112,Dark Olive Drab|Tan|Magenta,#575B54|#A79E82|#F24574,16.5824,10.3260,8.9172,8.0199,7.4633,22.9114,9.1729
113,Dark Olive Drab|Lime Green|Pink,#575B54|#D5D701|#F1A1AF,17.9735,10.4920,8.8776,7.8844,7.2437,22.9904,9.1882
114,Dark Olive Drab|Olive Green|Pink,#575B54|#948902|#F1A1AF,21.4564,10.8788,8.7932,7.5030,6.6840,28.1600,9.1909
115,Blue|Brown|Lime Green,#003776|#55331A|#D5D701,20.7436,10.8045,8.6804,7.5860,7.1122,22.2690,9.1952
116,Polymaker Teal|Brown|Olive Green,#4CC0C7|#55331A|#948902,22.1077,11.0404,8.6552,7.3824,6.8150,27.2633,9.2114
117,Brown|Lime Green|Cold White,#55331A|#D5D701|#D9DFE5,20.3810,10.7805,8.7567,7.6500,7.0937,22.2587,9.2152
118,Brown|Olive Green|Cold White,#55331A|#948902|#D9DFE5,22.0003,11.0224,8.6744,7.4103,6.7972,26.7382,9.2164
119,Dark Grey|Brown|Orange,#485259|#55331A|#F67405,17.7991,10.1451,8.8628,8.3046,8.1360,19.8778,9.2249
120,Polymaker Teal|Brown|Lime Green,#4CC0C7|#55331A|#D5D701,20.5017,10.8252,8.7519,7.6443,7.1197,22.7861,9.2347
121,Brown|Dark Olive Drab|Olive Green,#55331A|#575B54|#948902,20.9889,10.7361,8.7505,7.7453,7.3826,26.0801,9.2407
122,Brown|Dark Olive Drab|Lime Green,#55331A|#575B54|#D5D701,19.2103,10.4738,8.8092,8.0258,7.7818,21.1388,9.2498
123,Blue|Brown|Orange,#003776|#55331A|#F67405,19.3004,10.4578,8.8150,8.0434,7.7752,21.6772,9.2506
124,Green|Brown|Olive Green,#06924D|#55331A|#948902,22.1227,11.0605,8.7104,7.4545,6.8958,27.2584,9.2575
125,Blue|Dark Olive Drab|Orange,#003776|#575B54|#F67405,17.0315,10.2656,9.0005,8.2677,7.8356,22.9107,9.2666
126,Dark Grey|Olive Green|Magenta,#485259|#948902|#F24574,26.4214,11.6866,8.6594,6.8926,5.8383,29.6230,9.2896
127,Blue|Brown|Olive Green,#003776|#55331A|#948902,22.6742,11.1797,8.7161,7.4076,6.8236,27.6720,9.2936
128,Brown|Purple|Lime Green,#55331A|#6C47B2|#D5D701,20.8274,11.0262,8.8263,7.5824,6.8916,25.5967,9.3043
129,Azure Blue|Brown|Olive Green,#0066D9|#55331A|#948902,22.4930,11.2147,8.7612,7.4241,6.7474,27.9679,9.3194
130,Brown|Olive Green|Lime Green,#55331A|#948902|#D5D701,20.8226,10.9208,8.8525,7.7492,7.2002,23.3731,9.3350
131,Azure Blue|Brown|Lime Green,#0066D9|#55331A|#D5D701,20.7140,10.9878,8.8535,7.6860,7.1412,22.6119,9.3369
132,Green|Brown|Lime Green,#06924D|#55331A|#D5D701,20.4925,10.8954,8.8656,7.7845,7.2781,22.5375,9.3399
133,Brown|Purple|Olive Green,#55331A|#6C47B2|#948902,23.0049,11.5142,8.7899,7.2227,6.4689,30.0027,9.3684
134,Green|Brown|Pink,#06924D|#55331A|#F1A1AF,20.8644,11.1153,8.9692,7.7608,7.1532,26.4345,9.4381
135,Green|Dark Grey|Red,#06924D|#485259|#E72F1D,22.5501,11.4101,9.0286,7.6630,6.9368,26.6474,9.5366
136,Dark Grey|Pink|Yellow,#485259|#F1A1AF|#FFE800,19.6696,11.0694,9.2194,8.0566,7.3477,23.7256,9.5630
137,Green|Brown|Magenta,#06924D|#55331A|#F24574,22.1477,11.7860,9.4261,8.1142,7.5211,26.3219,9.9501
138,Dark Grey|Olive Green|Pink,#485259|#948902|#F1A1AF,24.7670,11.9098,9.5002,8.0660,7.1844,29.8593,9.9879
139,Green|Black|Magenta,#06924D|#080A0D|#F24574,29.7358,12.6558,9.1578,7.3379,6.7258,29.5778,9.9968
140,Dark Grey|Lime Green|Pink,#485259|#D5D701|#F1A1AF,20.3200,11.5589,9.6718,8.5082,7.7971,24.1715,10.0336
141,Black|Tan|Yellow,#080A0D|#A79E82|#FFE800,23.3592,11.2208,9.7352,9.0839,8.8216,22.3977,10.1523
142,Black|Dark Grey|Orange,#080A0D|#485259|#F67405,21.2257,11.2050,9.7903,9.1750,8.9946,20.9939,10.1900
143,Black|Polymaker Teal|Orange,#080A0D|#4CC0C7|#F67405,25.7758,11.8466,9.6899,8.6259,8.2125,25.7969,10.2363
144,Green|Dark Grey|Orange,#06924D|#485259|#F67405,19.6860,11.5694,9.9792,9.0464,8.4753,25.9373,10.3079
145,Black|Pink|Orange,#080A0D|#F1A1AF|#F67405,26.3456,12.0192,9.9983,9.0873,8.7866,25.2115,10.5532
146,Black|Olive Green|Tan,#080A0D|#948902|#A79E82,24.0867,11.7327,10.1762,9.4631,9.1379,25.0588,10.5979
147,Black|Cold White|Orange,#080A0D|#D9DFE5|#F67405,26.5169,12.1324,10.0686,9.1306,8.8129,25.5069,10.6315
148,Black|Magenta|Orange,#080A0D|#F24574|#F67405,26.4550,12.1104,10.0797,9.1543,8.8340,25.4456,10.6324
149,Black|Purple|Orange,#080A0D|#6C47B2|#F67405,26.4527,12.1116,10.0783,9.1555,8.8349,25.5160,10.6335
150,Black|Grey|Orange,#080A0D|#8C9099|#F67405,24.9228,11.9507,10.1583,9.3652,9.1114,23.5280,10.6579
151,Blue|Black|Tan,#003776|#080A0D|#A79E82,22.5420,11.5979,10.3099,9.7310,9.4921,22.6203,10.6645
152,Black|Tan|Cold White,#080A0D|#A79E82|#D9DFE5,22.6537,11.6083,10.3155,9.7324,9.4806,22.7098,10.6703
153,Black|Polymaker Teal|Tan,#080A0D|#4CC0C7|#A79E82,22.6552,11.6102,10.3169,9.7321,9.4789,22.7106,10.6712
154,Black|Grey|Tan,#080A0D|#8C9099|#A79E82,22.5222,11.6197,10.3384,9.7679,9.5368,22.7270,10.6938
155,Black|Tan|Lime Green,#080A0D|#A79E82|#D5D701,23.2218,11.6770,10.3120,9.7177,9.4887,22.3393,10.6973
156,Azure Blue|Black|Tan,#0066D9|#080A0D|#A79E82,22.5590,11.6778,10.3811,9.7908,9.5497,22.6793,10.7343
157,Azure Blue|Black|Orange,#0066D9|#080A0D|#F67405,26.4714,12.1958,10.1817,9.2809,8.9715,25.6679,10.7383
158,Green|Black|Tan,#06924D|#080A0D|#A79E82,22.7577,11.6919,10.3978,9.8170,9.5710,23.1205,10.7545
159,Blue|Black|Orange,#003776|#080A0D|#F67405,26.4607,12.2237,10.2037,9.2983,8.9879,25.8413,10.7610
160,Black|Red|Orange,#080A0D|#E72F1D|#F67405,26.5499,12.2692,10.2481,9.3309,9.0141,25.7000,10.8001
161,Dark Grey|Tan|Magenta,#485259|#A79E82|#F24574,18.0435,11.9041,10.6604,9.8832,9.3847,23.3186,10.8936
162,Dark Olive Drab|Tan|Pink,#575B54|#A79E82|#F1A1AF,15.8216,11.7152,10.8526,10.2485,9.8055,23.3712,10.9818
163,Blue|Olive Green|Orange,#003776|#948902|#F67405,31.3958,13.5830,10.2993,8.3846,7.3137,32.7719,10.9838
164,Blue|Olive Green|Red,#003776|#948902|#E72F1D,33.1479,13.9000,10.3004,8.1527,6.8274,33.8200,11.0263
