rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
418,Green|Tan|Magenta,#06924D|#A79E82|#F24574,25.4462,18.0219,16.5081,15.3177,14.2579,41.9944,16.6698
419,Purple|Olive Green|Orange,#6C47B2|#948902|#F67405,39.8755,19.1626,15.9121,14.2197,13.2840,46.0914,16.6912
420,Azure Blue|Green|Red,#0066D9|#06924D|#E72F1D,28.0940,18.2732,16.4163,15.1953,14.2741,40.3845,16.7342
421,Dark Grey|Red|Pink,#485259|#E72F1D|#F1A1AF,23.2834,17.4823,16.5334,16.0192,15.7712,29.3145,16.7507
422,Azure Blue|Olive Green|Red,#0066D9|#948902|#E72F1D,33.4125,18.6950,16.3178,14.8144,13.7372,41.0940,16.7547
423,Black|Purple|Lime Green,#080A0D|#6C47B2|#D5D701,33.7658,18.5868,16.1747,15.0185,14.5271,46.9239,16.8026
424,Dark Grey|Purple|Tan,#485259|#6C47B2|#A79E82,21.9935,17.5900,16.6674,16.0405,15.6021,40.1386,16.8152
425,Black|Grey|Red,#080A0D|#8C9099|#E72F1D,29.8001,17.9650,16.4355,15.8736,15.7604,30.0565,16.9193
426,Black|Cold White|Red,#080A0D|#D9DFE5|#E72F1D,30.3787,18.0645,16.4726,15.8464,15.6903,30.3612,16.9554
427,Blue|Olive Green|Lime Green,#003776|#948902|#D5D701,35.3300,18.7639,16.4038,15.1651,14.4588,34.6018,16.9645
428,Green|Grey|Red,#06924D|#8C9099|#E72F1D,27.3504,18.4633,16.7297,15.4840,14.4494,42.6377,16.9737
429,Black|Grey|Pink,#080A0D|#8C9099|#F1A1AF,28.5863,17.6997,16.6340,16.2707,16.2080,29.8067,16.9852
430,Black|Red|Pink,#080A0D|#E72F1D|#F1A1AF,30.2329,18.0506,16.5451,15.9680,15.8265,30.2463,17.0093
431,Grey|Olive Green|Red,#8C9099|#948902|#E72F1D,29.9600,18.6667,16.7517,15.4207,14.3597,42.6826,17.0437
432,Black|Cold White|Pink,#080A0D|#D9DFE5|#F1A1AF,29.4346,17.8387,16.6746,16.2548,16.1602,30.4075,17.0467
433,Black|Polymaker Teal|Pink,#080A0D|#4CC0C7|#F1A1AF,29.4243,17.8427,16.6799,16.2628,16.1694,30.3197,17.0528
434,Black|Purple|Red,#080A0D|#6C47B2|#E72F1D,30.3930,18.1357,16.5826,15.9933,15.8550,30.3776,17.0645
435,Black|Red|Magenta,#080A0D|#E72F1D|#F24574,30.3930,18.1357,16.5826,15.9933,15.8550,30.3789,17.0645
436,Black|Purple|Pink,#080A0D|#6C47B2|#F1A1AF,29.4430,17.8522,16.6921,16.2774,16.1858,30.4133,17.0648
437,Azure Blue|Black|Pink,#0066D9|#080A0D|#F1A1AF,29.4435,17.8527,16.6926,16.2778,16.1862,30.4163,17.0652
438,Blue|Black|Pink,#003776|#080A0D|#F1A1AF,29.4383,17.8522,16.6938,16.2813,16.1925,30.4172,17.0668
439,Blue|Black|Red,#003776|#080A0D|#E72F1D,30.3939,18.1412,16.5878,15.9955,15.8567,30.3804,17.0684
440,Azure Blue|Olive Green|Magenta,#0066D9|#948902|#F24574,34.9874,19.0825,16.6247,15.0587,13.9488,41.2350,17.0706
441,Azure Blue|Black|Red,#0066D9|#080A0D|#E72F1D,30.4024,18.1429,16.5914,16.0021,15.8637,30.4099,17.0725
442,Black|Dark Grey|Pink,#080A0D|#485259|#F1A1AF,25.6520,17.6303,16.8544,16.5876,16.5377,29.5424,17.1089
443,Grey|Olive Green|Magenta,#8C9099|#948902|#F24574,31.8015,18.9632,16.8945,15.4829,14.3986,42.9264,17.2231
444,Green|Tan|Red,#06924D|#A79E82|#E72F1D,24.8141,18.5022,17.1434,16.0069,14.9528,43.1434,17.2545
445,Green|Red|Magenta,#06924D|#E72F1D|#F24574,28.6788,18.8855,16.9874,15.6248,14.5052,43.0524,17.2552
446,Blue|Tan|Lime Green,#003776|#A79E82|#D5D701,25.6025,18.3256,17.1217,16.3289,15.7327,34.2217,17.3272
447,Azure Blue|Dark Grey|Lime Green,#0066D9|#485259|#D5D701,24.7614,18.3788,17.1766,16.4289,15.9599,30.7664,17.4039
448,Dark Olive Drab|Purple|Lime Green,#575B54|#6C47B2|#D5D701,25.4611,18.6707,17.1316,16.1728,15.6105,43.2057,17.4218
449,Grey|Olive Green|Orange,#8C9099|#948902|#F67405,28.1656,18.8168,17.2877,16.1856,15.3375,42.8236,17.5012
450,Green|Purple|Magenta,#06924D|#6C47B2|#F24574,33.3202,19.4763,17.0043,15.5673,14.6947,42.3157,17.5218
451,Azure Blue|Purple|Olive Green,#0066D9|#6C47B2|#948902,45.8722,20.5763,16.6975,14.6021,13.3586,46.8576,17.5892
452,Blue|Tan|Pink,#003776|#A79E82|#F1A1AF,24.0211,18.3867,17.4482,16.7920,16.2720,34.3268,17.5894
453,Purple|Grey|Olive Green,#6C47B2|#8C9099|#948902,44.4738,20.4953,16.8735,14.8939,13.6971,47.6134,17.6946
454,Azure Blue|Olive Green|Pink,#0066D9|#948902|#F1A1AF,34.3810,19.4805,17.3291,16.0145,15.0667,41.3556,17.7475
455,Blue|Dark Grey|Lime Green,#003776|#485259|#D5D701,26.7758,18.8093,17.4700,16.6876,16.2124,31.5346,17.7484
456,Black|Dark Olive Drab|Cold White,#080A0D|#575B54|#D9DFE5,20.8838,17.9737,17.6758,17.5655,17.5462,32.6990,17.7696
457,Blue|Black|Dark Olive Drab,#003776|#080A0D|#575B54,20.8926,17.9841,17.6889,17.5803,17.5617,32.6990,17.7822
458,Black|Polymaker Teal|Dark Olive Drab,#080A0D|#4CC0C7|#575B54,20.8929,17.9848,17.6899,17.5814,17.5628,32.6990,17.7831
459,Azure Blue|Black|Dark Olive Drab,#0066D9|#080A0D|#575B54,20.8937,17.9859,17.6907,17.5817,17.5629,32.6990,17.7838
460,Black|Dark Olive Drab|Purple,#080A0D|#575B54|#6C47B2,20.9029,17.9982,17.6975,17.5845,17.5696,32.7034,17.7914
461,Azure Blue|Green|Magenta,#0066D9|#06924D|#F24574,30.4445,19.4361,17.4663,16.1750,15.2311,41.3973,17.8055
462,Black|Dark Grey|Dark Olive Drab,#080A0D|#485259|#575B54,20.8833,18.0084,17.7146,17.6052,17.5861,32.6990,17.8068
463,Polymaker Teal|Purple|Olive Green,#4CC0C7|#6C47B2|#948902,46.8234,20.9350,16.9039,14.7430,13.4545,48.6126,17.8390
464,Purple|Olive Green|Cold White,#6C47B2|#948902|#D9DFE5,46.8179,20.9316,16.9025,14.7483,13.4672,48.6193,17.8400
465,Green|Grey|Magenta,#06924D|#8C9099|#F24574,29.8078,19.4243,17.5642,16.2725,15.1908,41.9267,17.8484
466,Black|Dark Olive Drab|Grey,#080A0D|#575B54|#8C9099,20.7664,18.0345,17.7636,17.6672,17.6563,32.6512,17.8509
467,Black|Pink|Magenta,#080A0D|#F1A1AF|#F24574,30.2545,18.6558,17.4622,17.0464,16.9715,32.3400,17.8511
468,Green|Purple|Olive Green,#06924D|#6C47B2|#948902,46.7377,20.8915,16.9029,14.8230,13.6390,48.4553,17.8572
469,Green|Olive Green|Magenta,#06924D|#948902|#F24574,31.8044,19.6099,17.5101,16.1118,15.0068,43.0295,17.8609
470,Blue|Polymaker Teal|Tan,#003776|#4CC0C7|#A79E82,24.4143,18.7385,17.7918,17.1324,16.5975,35.4410,17.9355
471,Blue|Tan|Cold White,#003776|#A79E82|#D9DFE5,24.4132,18.7377,17.7920,17.1338,16.5992,35.4410,17.9357
472,Grey|Olive Green|Pink,#8C9099|#948902|#F1A1AF,30.7840,19.3697,17.6846,16.5158,15.5859,43.3535,17.9427
473,Blue|Grey|Tan,#003776|#8C9099|#A79E82,24.4067,18.7794,17.8452,17.1855,16.6505,35.4552,17.9825
474,Polymaker Teal|Dark Olive Drab|Cold White,#4CC0C7|#575B54|#D9DFE5,20.2720,18.3941,17.9911,17.6843,17.4683,32.2592,18.0392
475,Green|Cold White|Red,#06924D|#D9DFE5|#E72F1D,28.6492,19.5982,17.8119,16.4901,15.3815,43.7317,18.0442
476,Green|Polymaker Teal|Red,#06924D|#4CC0C7|#E72F1D,28.5534,19.5980,17.8147,16.4916,15.3866,43.7115,18.0448
477,Blue|Green|Tan,#003776|#06924D|#A79E82,24.8356,18.8762,17.8861,17.2165,16.6959,35.5091,18.0464
478,Blue|Azure Blue|Tan,#003776|#0066D9|#A79E82,24.4584,18.8475,17.9111,17.2572,16.7265,35.4353,18.0523
479,Grey|Tan|Red,#8C9099|#A79E82|#E72F1D,22.1725,18.8698,18.0537,17.2954,16.5679,44.3551,18.0826
480,Dark Grey|Dark Olive Drab|Cold White,#485259|#575B54|#D9DFE5,20.2478,18.4055,18.0360,17.7740,17.5994,32.1965,18.0897
481,Green|Cold White|Magenta,#06924D|#D9DFE5|#F24574,30.2504,19.7388,17.8190,16.4612,15.2990,42.4716,18.1000
482,Dark Grey|Polymaker Teal|Dark Olive Drab,#485259|#4CC0C7|#575B54,20.2546,18.4157,18.0481,17.7869,17.6131,32.1962,18.1013
483,Green|Polymaker Teal|Magenta,#06924D|#4CC0C7|#F24574,30.2365,19.7474,17.8315,16.4790,15.3228,42.5336,18.1132
484,Green|Red|Pink,#06924D|#E72F1D|#F1A1AF,28.4460,19.6146,17.9002,16.6135,15.5015,43.7981,18.1141
485,Dark Olive Drab|Grey|Cold White,#575B54|#8C9099|#D9DFE5,20.2047,18.4548,18.0710,17.7735,17.5641,32.2855,18.1142
486,Dark Grey|Purple|Yellow,#485259|#6C47B2|#FFE800,27.5012,19.4073,17.7981,16.8249,16.2557,44.0277,18.1161
487,Purple|Olive Green|Tan,#6C47B2|#948902|#A79E82,35.6899,20.0042,17.6299,16.2289,15.2635,46.4821,18.1165
488,Azure Blue|Dark Grey|Dark Olive Drab,#0066D9|#485259|#575B54,20.2716,18.4313,18.0630,17.8027,17.6302,32.1959,18.1170
489,Polymaker Teal|Dark Olive Drab|Grey,#4CC0C7|#575B54|#8C9099,20.2123,18.4648,18.0811,17.7825,17.5725,32.2851,18.1237
490,Blue|Dark Grey|Dark Olive Drab,#003776|#485259|#575B54,20.3243,18.4466,18.0748,17.8164,17.6478,32.2088,18.1315
491,Azure Blue|Dark Olive Drab|Cold White,#0066D9|#575B54|#D9DFE5,20.3837,18.4872,18.0886,17.7976,17.5989,32.3135,18.1424
492,Azure Blue|Polymaker Teal|Dark Olive Drab,#0066D9|#4CC0C7|#575B54,20.3904,18.4976,18.1008,17.8104,17.6124,32.3131,18.1540
493,Blue|Dark Olive Drab|Cold White,#003776|#575B54|#D9DFE5,20.4925,18.4922,18.0995,17.8294,17.6540,32.2616,18.1608
494,Blue|Azure Blue|Dark Olive Drab,#003776|#0066D9|#575B54,20.4904,18.4989,18.1081,17.8384,17.6634,32.2574,18.1687
495,Blue|Polymaker Teal|Dark Olive Drab,#003776|#4CC0C7|#575B54,20.4992,18.5026,18.1118,17.8423,17.6675,32.2616,18.1724
496,Dark Grey|Dark Olive Drab|Grey,#485259|#575B54|#8C9099,20.1879,18.4771,18.1264,17.8728,17.7043,32.2206,18.1750
497,Dark Grey|Dark Olive Drab|Purple,#485259|#575B54|#6C47B2,20.4454,18.5588,18.1645,17.8932,17.7240,32.3779,18.2260
498,Azure Blue|Dark Olive Drab|Grey,#0066D9|#575B54|#8C9099,20.3223,18.5579,18.1790,17.8959,17.7031,32.3391,18.2269
499,Blue|Dark Olive Drab|Grey,#003776|#575B54|#8C9099,20.4327,18.5644,18.1911,17.9295,17.7603,32.2898,18.2470
500,Green|Pink|Magenta,#06924D|#F1A1AF|#F24574,29.5020,19.7548,18.0019,16.7567,15.6913,42.8160,18.2557
501,Blue|Dark Olive Drab|Purple,#003776|#575B54|#6C47B2,20.6673,18.6462,18.2302,17.9464,17.7714,32.4531,18.2963
502,Azure Blue|Olive Green|Orange,#0066D9|#948902|#F67405,32.7321,19.7558,17.9496,16.8596,16.0842,40.8091,18.3077
503,Azure Blue|Dark Olive Drab|Purple,#0066D9|#575B54|#6C47B2,20.6648,18.7059,18.2743,17.9699,17.7774,32.6218,18.3379
504,Dark Grey|Cold White|Pink,#485259|#D9DFE5|#F1A1AF,22.7328,18.9158,18.3135,17.9704,17.7720,30.1187,18.4431
505,Blue|Dark Grey|Pink,#003776|#485259|#F1A1AF,22.7451,18.9279,18.3246,17.9789,17.7774,30.1232,18.4534
506,Dark Grey|Purple|Pink,#485259|#6C47B2|#F1A1AF,22.7451,18.9279,18.3246,17.9789,17.7774,30.1232,18.4534
507,Azure Blue|Dark Grey|Pink,#0066D9|#485259|#F1A1AF,22.7452,18.9280,18.3247,17.9790,17.7776,30.1236,18.4535
508,Dark Olive Drab|Purple|Cold White,#575B54|#6C47B2|#D9DFE5,20.8579,18.8459,18.3928,18.0683,17.8631,33.4209,18.4571
509,Polymaker Teal|Dark Olive Drab|Purple,#4CC0C7|#575B54|#6C47B2,20.8647,18.8563,18.4051,18.0810,17.8762,33.4197,18.4686
510,Dark Grey|Grey|Pink,#485259|#8C9099|#F1A1AF,22.6542,18.9318,18.3484,18.0197,17.8306,30.0757,18.4758
511,Dark Grey|Polymaker Teal|Pink,#485259|#4CC0C7|#F1A1AF,22.7747,18.9570,18.3536,18.0116,17.8140,30.1565,18.4843
512,Dark Olive Drab|Purple|Grey,#575B54|#6C47B2|#8C9099,20.7956,18.9153,18.4831,18.1690,17.9708,33.4030,18.5422
513,Grey|Tan|Orange,#8C9099|#A79E82|#F67405,22.0449,19.2570,18.5482,17.8776,17.2292,44.3042,18.5673
514,Olive Green|Tan|Magenta,#948902|#A79E82|#F24574,26.7464,19.9242,18.5931,17.4789,16.4673,47.6646,18.7016
515,Dark Grey|Pink|Magenta,#485259|#F1A1AF|#F24574,23.5739,19.2927,18.5982,18.2285,18.0476,31.2674,18.7606
516,Green|Purple|Orange,#06924D|#6C47B2|#F67405,32.9671,20.5883,18.3139,16.9784,16.1804,45.3386,18.7834
517,Blue|Grey|Yellow,#003776|#8C9099|#FFE800,29.5040,20.0847,18.5624,17.6476,17.0388,36.1694,18.8662
518,Green|Olive Green|Red,#06924D|#948902|#E72F1D,30.2181,20.4598,18.6613,17.3704,16.2957,43.8778,18.9151
519,Blue|Cold White|Yellow,#003776|#D9DFE5|#FFE800,30.2807,20.2242,18.6426,17.7026,17.0985,36.2754,18.9634
520,Blue|Green|Yellow,#003776|#06924D|#FFE800,30.2873,20.2561,18.6354,17.7065,17.1398,36.0760,18.9813
521,Green|Lime Green|Magenta,#06924D|#D5D701|#F24574,29.6018,20.3786,18.7637,17.7385,17.0181,42.8618,19.0585
522,Olive Green|Tan|Red,#948902|#A79E82|#E72F1D,24.8528,20.0947,19.0268,18.0257,17.0753,48.0190,19.0602
523,Blue|Polymaker Teal|Yellow,#003776|#4CC0C7|#FFE800,30.3354,20.3514,18.7536,17.8150,17.2195,36.3821,19.0832
524,Blue|Lime Green|Yellow,#003776|#D5D701|#FFE800,30.3727,20.3907,18.7900,17.8614,17.2805,36.0994,19.1260
525,Green|Grey|Orange,#06924D|#8C9099|#F67405,26.1166,20.1786,19.0024,18.0993,17.3123,43.0632,19.1390
526,Green|Magenta|Yellow,#06924D|#F24574|#FFE800,29.8745,20.6219,18.9898,17.9316,17.1971,43.7081,19.2768
527,Azure Blue|Olive Green|Tan,#0066D9|#948902|#A79E82,29.7410,20.4757,19.0936,18.1034,17.2437,41.1947,19.2896
528,Blue|Azure Blue|Yellow,#003776|#0066D9|#FFE800,30.4311,20.6321,19.0003,18.0506,17.4553,37.0514,19.3413
529,Black|Grey|Magenta,#080A0D|#8C9099|#F24574,31.5715,20.2702,18.9212,18.4344,18.3632,34.3448,19.3523
530,Blue|Green|Pink,#003776|#06924D|#F1A1AF,30.1232,20.5942,19.0734,18.1783,17.5652,34.6837,19.3862
531,Green|Magenta|Orange,#06924D|#F24574|#F67405,28.8281,20.6897,19.1700,18.0843,17.1902,44.6731,19.3870
532,Purple|Olive Green|Lime Green,#6C47B2|#948902|#D5D701,44.8574,21.8071,18.5928,17.0070,16.1109,49.0290,19.4070
533,Black|Dark Grey|Magenta,#080A0D|#485259|#F24574,29.0904,20.2014,19.1515,18.7763,18.7133,34.1338,19.4888
534,Azure Blue|Green|Orange,#0066D9|#06924D|#F67405,28.4726,20.8062,19.3477,18.3493,17.5782,40.7497,19.5777
535,Azure Blue|Tan|Red,#0066D9|#A79E82|#E72F1D,23.9407,20.4197,19.5608,18.8011,18.1007,46.2838,19.6104
536,Grey|Tan|Magenta,#8C9099|#A79E82|#F24574,23.4947,20.3916,19.5938,18.8376,18.0939,45.5270,19.6146
537,Black|Polymaker Teal|Magenta,#080A0D|#4CC0C7|#F24574,32.6708,20.6769,19.1909,18.6450,18.5431,35.1243,19.6609
538,Green|Black|Dark Olive Drab,#06924D|#080A0D|#575B54,23.8323,19.9504,19.5186,19.3913,19.4231,37.2984,19.6709
539,Blue|Purple|Tan,#003776|#6C47B2|#A79E82,26.3221,20.5396,19.5195,18.8275,18.3002,39.8302,19.6836
540,Dark Grey|Cold White|Magenta,#485259|#D9DFE5|#F24574,25.2990,20.3208,19.4838,19.0544,18.8613,33.0033,19.6876
541,Green|Dark Olive Drab|Cold White,#06924D|#575B54|#D9DFE5,22.5947,20.0983,19.5998,19.2961,19.1449,36.6126,19.6972
542,Green|Polymaker Teal|Dark Olive Drab,#06924D|#4CC0C7|#575B54,22.6015,20.1086,19.6124,19.3101,19.1597,36.6152,19.7093
543,Dark Grey|Grey|Magenta,#485259|#8C9099|#F24574,25.2067,20.3338,19.5113,19.0886,18.8982,33.1061,19.7112
544,Dark Grey|Polymaker Teal|Magenta,#485259|#4CC0C7|#F24574,25.3687,20.3589,19.5054,19.0742,18.8855,32.9942,19.7165
545,Blue|Dark Grey|Magenta,#003776|#485259|#F24574,25.3355,20.3638,19.5274,19.0976,18.9057,33.1144,19.7307
546,Dark Grey|Purple|Magenta,#485259|#6C47B2|#F24574,25.3355,20.3638,19.5274,19.0976,18.9057,33.1144,19.7307
547,Azure Blue|Dark Grey|Magenta,#0066D9|#485259|#F24574,25.3356,20.3641,19.5278,19.0981,18.9062,33.1144,19.7311
548,Green|Red|Yellow,#06924D|#E72F1D|#FFE800,28.8762,20.9578,19.4975,18.5219,17.8137,44.9687,19.7399
549,Black|Cold White|Magenta,#080A0D|#D9DFE5|#F24574,32.6680,20.7468,19.3053,18.7715,18.6614,35.3016,19.7591
550,Green|Dark Grey|Dark Olive Drab,#06924D|#485259|#575B54,22.6004,20.1320,19.6638,19.3975,19.2770,36.6192,19.7647
551,Dark Grey|Purple|Lime Green,#485259|#6C47B2|#D5D701,29.4914,21.0918,19.4793,18.5056,17.9348,44.8152,19.7987
552,Green|Dark Olive Drab|Grey,#06924D|#575B54|#8C9099,22.6445,20.1985,19.7070,19.4069,19.2571,36.6241,19.8027
553,Green|Lime Green|Red,#06924D|#D5D701|#E72F1D,28.8618,20.9984,19.5682,18.6202,17.9092,43.9954,19.8093
554,Black|Purple|Magenta,#080A0D|#6C47B2|#F24574,32.6930,20.7944,19.3604,18.8371,18.7393,35.4148,19.8158
555,Blue|Black|Magenta,#003776|#080A0D|#F24574,32.6920,20.7939,19.3599,18.8377,18.7410,35.4138,19.8158
556,Azure Blue|Green|Dark Olive Drab,#0066D9|#06924D|#575B54,22.7370,20.2162,19.7163,19.4186,19.2723,36.6190,19.8174
557,Azure Blue|Black|Magenta,#0066D9|#080A0D|#F24574,32.6941,20.7968,19.3630,18.8398,18.7421,35.4171,19.8183
558,Blue|Green|Dark Olive Drab,#003776|#06924D|#575B54,22.8563,20.2204,19.7234,19.4422,19.3135,36.6196,19.8313
559,Polymaker Teal|Olive Green|Magenta,#4CC0C7|#948902|#F24574,35.1103,21.5729,19.4967,18.0930,16.9976,46.9895,19.8330
560,Tan|Red|Magenta,#A79E82|#E72F1D|#F24574,23.5608,20.7019,19.8838,19.0262,18.1404,49.5606,19.8641
561,Azure Blue|Grey|Olive Green,#0066D9|#8C9099|#948902,35.5755,21.4522,19.5362,18.3350,17.4068,41.4986,19.8936
562,Tan|Lime Green|Red,#A79E82|#D5D701|#E72F1D,23.6923,20.6647,19.8876,19.1652,18.5020,49.8113,19.9149
563,Azure Blue|Olive Green|Cold White,#0066D9|#948902|#D9DFE5,37.9572,21.6816,19.4739,18.1699,17.2191,41.6476,19.9258
564,Azure Blue|Polymaker Teal|Olive Green,#0066D9|#4CC0C7|#948902,37.9646,21.6861,19.4796,18.1754,17.2213,41.6476,19.9308
565,Tan|Cold White|Red,#A79E82|#D9DFE5|#E72F1D,23.6488,20.8329,20.0223,19.1711,18.2922,49.5724,20.0020
566,Azure Blue|Green|Olive Green,#0066D9|#06924D|#948902,38.0412,21.7713,19.5490,18.2417,17.2833,41.8350,20.0065
567,Polymaker Teal|Olive Green|Red,#4CC0C7|#948902|#E72F1D,33.1165,21.6733,19.7991,18.4927,17.4644,47.2967,20.0830
568,Tan|Red|Pink,#A79E82|#E72F1D|#F1A1AF,23.5715,20.9230,20.1387,19.2878,18.3991,49.4136,20.1054
569,Purple|Olive Green|Yellow,#6C47B2|#948902|#FFE800,44.4673,22.2884,19.4163,18.0142,17.2222,49.2412,20.1513
570,Tan|Red|Yellow,#A79E82|#E72F1D|#FFE800,23.7835,20.8888,20.1465,19.4662,18.8393,50.7503,20.1775
571,Purple|Tan|Red,#6C47B2|#A79E82|#E72F1D,27.1908,21.2670,20.0557,19.1966,18.5531,48.1894,20.2318
572,Grey|Olive Green|Tan,#8C9099|#948902|#A79E82,26.6344,21.2252,20.2952,19.4316,18.5530,44.6251,20.3284
573,Olive Green|Tan|Pink,#948902|#A79E82|#F1A1AF,27.4466,21.4109,20.3270,19.3516,18.4126,48.6404,20.3812
574,Blue|Grey|Orange,#003776|#8C9099|#F67405,26.3538,21.1068,20.2607,19.6991,19.2794,35.2358,20.4030
575,Green|Olive Green|Pink,#06924D|#948902|#F1A1AF,31.2450,21.8333,20.3008,19.1833,18.2480,46.3784,20.5083
576,Green|Dark Olive Drab|Purple,#06924D|#575B54|#6C47B2,24.0693,21.0809,20.3852,19.9551,19.7289,38.3718,20.5180
577,Tan|Cold White|Magenta,#A79E82|#D9DFE5|#F24574,24.2543,21.3825,20.5564,19.6915,18.7863,49.8410,20.5370
578,Azure Blue|Tan|Magenta,#0066D9|#A79E82|#F24574,24.7590,21.4321,20.5867,19.8170,19.0972,46.8414,20.6245
579,Green|Red|Orange,#06924D|#E72F1D|#F67405,29.0941,21.8690,20.4686,19.4238,18.5328,45.3470,20.6464
580,Azure Blue|Tan|Orange,#0066D9|#A79E82|#F67405,24.5152,21.4123,20.6510,19.9807,19.3642,47.0948,20.6965
581,Polymaker Teal|Grey|Olive Green,#4CC0C7|#8C9099|#948902,33.4874,22.0362,20.4976,19.4360,18.5218,43.8841,20.7361
582,Grey|Olive Green|Cold White,#8C9099|#948902|#D9DFE5,33.4865,22.0366,20.4980,19.4357,18.5191,43.8841,20.7361
583,Tan|Lime Green|Magenta,#A79E82|#D5D701|#F24574,24.8973,21.5420,20.6884,19.9473,19.2743,50.9799,20.7446
584,Green|Grey|Olive Green,#06924D|#8C9099|#948902,33.5347,22.0585,20.5158,19.4552,18.5434,43.9527,20.7569
585,Blue|Grey|Lime Green,#003776|#8C9099|#D5D701,31.6037,21.9622,20.4913,19.6215,19.0341,36.8300,20.7919
586,Polymaker Teal|Tan|Red,#4CC0C7|#A79E82|#E72F1D,25.5364,21.8749,20.9490,20.0912,19.2742,50.0514,20.9831
587,Green|Tan|Pink,#06924D|#A79E82|#F1A1AF,26.5201,21.9985,21.0057,20.0919,19.1762,46.1113,21.0452
588,Black|Grey|Cold White,#080A0D|#8C9099|#D9DFE5,31.5905,21.6577,20.7560,20.4495,20.3727,35.3450,21.0536
589,Black|Polymaker Teal|Grey,#080A0D|#4CC0C7|#8C9099,31.6172,21.6830,20.7833,20.4790,20.4067,35.3732,21.0810
590,Black|Purple|Grey,#080A0D|#6C47B2|#8C9099,31.6172,21.6830,20.7833,20.4790,20.4067,35.3732,21.0810
591,Azure Blue|Black|Grey,#0066D9|#080A0D|#8C9099,31.6172,21.6830,20.7833,20.4790,20.4067,35.3732,21.0810
592,Blue|Black|Grey,#003776|#080A0D|#8C9099,31.6160,21.6830,20.7834,20.4793,20.4070,35.3744,21.0812
593,Blue|Green|Lime Green,#003776|#06924D|#D5D701,32.2505,22.2904,20.7636,19.8753,19.2949,36.6518,21.0828
594,Blue|Polymaker Teal|Lime Green,#003776|#4CC0C7|#D5D701,32.3342,22.3425,20.7838,19.8579,19.2484,37.1859,21.1002
595,Blue|Lime Green|Cold White,#003776|#D5D701|#D9DFE5,32.3339,22.3397,20.7838,19.8634,19.2545,37.1974,21.1015
596,Blue|Polymaker Teal|Orange,#003776|#4CC0C7|#F67405,28.2848,21.9860,20.9308,20.2628,19.7924,35.8703,21.1244
597,Black|Purple|Cold White,#080A0D|#6C47B2|#D9DFE5,33.1918,21.8557,20.7918,20.4039,20.2898,35.9422,21.1298
598,Black|Polymaker Teal|Cold White,#080A0D|#4CC0C7|#D9DFE5,33.1918,21.8558,20.7920,20.4040,20.2898,35.9422,21.1299
599,Azure Blue|Black|Cold White,#0066D9|#080A0D|#D9DFE5,33.1985,21.8733,20.8088,20.4192,20.3044,35.9444,21.1462
600,Black|Polymaker Teal|Purple,#080A0D|#4CC0C7|#6C47B2,33.2177,21.8859,20.8271,20.4431,20.3324,35.9542,21.1645
601,Azure Blue|Black|Purple,#0066D9|#080A0D|#6C47B2,33.2280,21.9040,20.8446,20.4599,20.3485,35.9564,21.1819
602,Azure Blue|Black|Polymaker Teal,#0066D9|#080A0D|#4CC0C7,33.2279,21.9045,20.8454,20.4607,20.3491,35.9564,21.1826
603,Tan|Pink|Magenta,#A79E82|#F1A1AF|#F24574,24.4270,22.0061,21.2568,20.4250,19.5380,49.7117,21.2155
604,Blue|Black|Cold White,#003776|#080A0D|#D9DFE5,33.2063,21.9425,20.8843,20.5019,20.3894,35.9769,21.2222
605,Purple|Tan|Orange,#6C47B2|#A79E82|#F67405,28.4413,22.2184,21.0391,20.2453,19.6693,48.6168,21.2319
606,Grey|Red|Yellow,#8C9099|#E72F1D|#FFE800,25.8622,22.0299,21.1734,20.4587,19.8442,46.1380,21.2443
607,Purple|Tan|Magenta,#6C47B2|#A79E82|#F24574,27.8616,22.2307,21.0974,20.2596,19.6067,48.0838,21.2452
608,Blue|Azure Blue|Black,#003776|#0066D9|#080A0D,33.2296,21.9741,20.9214,20.5433,20.4341,35.9864,21.2587
609,Blue|Black|Purple,#003776|#080A0D|#6C47B2,33.2322,21.9744,20.9222,20.5445,20.4352,35.9850,21.2594
610,Blue|Black|Polymaker Teal,#003776|#080A0D|#4CC0C7,33.2315,21.9752,20.9231,20.5456,20.4364,35.9850,21.2604
611,Tan|Red|Orange,#A79E82|#E72F1D|#F67405,24.3875,22.0108,21.2988,20.5436,19.7789,50.6673,21.2772
612,Green|Tan|Orange,#06924D|#A79E82|#F67405,26.5327,22.2271,21.2508,20.3699,19.5348,47.9598,21.2985
613,Olive Green|Cold White|Magenta,#948902|#D9DFE5|#F24574,35.6419,22.9487,20.9866,19.6885,18.6989,48.9657,21.3186
614,Olive Green|Tan|Orange,#948902|#A79E82|#F67405,25.1800,22.1414,21.3706,20.5883,19.8148,50.1212,21.3649
615,Tan|Magenta|Orange,#A79E82|#F24574|#F67405,24.5449,22.1198,21.4018,20.6485,19.8858,51.0869,21.3842
616,Grey|Lime Green|Red,#8C9099|#D5D701|#E72F1D,26.3453,22.2132,21.3236,20.5855,19.9383,46.1317,21.3993
617,Grey|Tan|Pink,#8C9099|#A79E82|#F1A1AF,24.0446,22.0617,21.4426,20.7645,20.0488,45.8890,21.4131
