rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
3820,Polymaker Teal|Red|Magenta|Orange,#4CC0C7|#E72F1D|#F24574|#F67405,38.6377,34.2963,32.1967,29.6966,26.8363,50.8435,31.9964
3821,Polymaker Teal|Red|Magenta|Yellow,#4CC0C7|#E72F1D|#F24574|#FFE800,38.6377,34.2963,32.1967,29.6966,26.8363,50.8435,31.9964
3822,Polymaker Teal|Pink|Magenta|Yellow,#4CC0C7|#F1A1AF|#F24574|#FFE800,39.0957,34.3586,32.1653,29.6393,26.7861,50.9624,31.9990
3823,Green|Polymaker Teal|Olive Green|Pink,#06924D|#4CC0C7|#948902|#F1A1AF,39.0385,34.2555,32.1217,29.8066,27.4458,54.9789,32.0310
3824,Green|Polymaker Teal|Lime Green|Pink,#06924D|#4CC0C7|#D5D701|#F1A1AF,39.0385,34.2555,32.1217,29.8066,27.4458,54.9789,32.0310
3825,Green|Polymaker Teal|Pink|Orange,#06924D|#4CC0C7|#F1A1AF|#F67405,39.0385,34.2555,32.1217,29.8066,27.4458,54.9789,32.0310
3826,Green|Polymaker Teal|Pink|Yellow,#06924D|#4CC0C7|#F1A1AF|#FFE800,39.0385,34.2555,32.1217,29.8066,27.4458,54.9789,32.0310
3827,Polymaker Teal|Brown|Red|Orange,#4CC0C7|#55331A|#E72F1D|#F67405,42.5789,35.6214,32.1590,28.4489,24.5247,71.7024,32.0351
3828,Green|Polymaker Teal|Tan|Pink,#06924D|#4CC0C7|#A79E82|#F1A1AF,39.0357,34.2557,32.1339,29.8254,27.4490,55.2533,32.0405
3829,Azure Blue|Dark Olive Drab|Olive Green|Magenta,#0066D9|#575B54|#948902|#F24574,42.2567,34.2660,31.7226,29.8201,28.2096,79.1469,32.0430
3830,Green|Polymaker Teal|Brown|Red,#06924D|#4CC0C7|#55331A|#E72F1D,42.5420,35.6615,32.1847,28.4417,24.5087,72.1598,32.0516
3831,Polymaker Teal|Brown|Olive Green|Red,#4CC0C7|#55331A|#948902|#E72F1D,42.5420,35.6615,32.1847,28.4417,24.5087,72.1598,32.0516
3832,Polymaker Teal|Brown|Lime Green|Red,#4CC0C7|#55331A|#D5D701|#E72F1D,42.5420,35.6615,32.1847,28.4417,24.5087,72.1598,32.0516
3833,Polymaker Teal|Brown|Red|Yellow,#4CC0C7|#55331A|#E72F1D|#FFE800,42.5420,35.6615,32.1847,28.4417,24.5087,72.1598,32.0516
3834,Azure Blue|Black|Polymaker Teal|Olive Green,#0066D9|#080A0D|#4CC0C7|#948902,44.0108,34.6476,31.5809,29.4630,27.8826,81.1317,32.0553
3835,Green|Polymaker Teal|Cold White|Pink,#06924D|#4CC0C7|#D9DFE5|#F1A1AF,39.1029,34.2881,32.1572,29.8697,27.5085,54.6345,32.0789
3836,Brown|Tan|Lime Green|Magenta,#55331A|#A79E82|#D5D701|#F24574,37.5045,33.7945,32.1780,30.3684,28.3624,49.5658,32.0814
3837,Brown|Tan|Lime Green|Red,#55331A|#A79E82|#D5D701|#E72F1D,37.5158,33.8073,32.1828,30.3561,28.3551,49.6184,32.0817
3838,Azure Blue|Green|Purple|Lime Green,#0066D9|#06924D|#6C47B2|#D5D701,51.9562,36.1845,31.2397,27.9870,25.9333,81.9101,32.0857
3839,Polymaker Teal|Lime Green|Red|White,#4CC0C7|#D5D701|#E72F1D|#EBF7FF,38.1403,34.2184,32.2943,29.9532,27.2032,50.3620,32.0858
3840,Polymaker Teal|Red|White|Yellow,#4CC0C7|#E72F1D|#EBF7FF|#FFE800,38.1403,34.2184,32.2943,29.9532,27.2032,50.3620,32.0858
3841,Polymaker Teal|Red|White|Orange,#4CC0C7|#E72F1D|#EBF7FF|#F67405,38.1546,34.2544,32.3080,29.9364,27.1766,50.5647,32.0954
3842,Brown|Olive Green|Tan|Lime Green,#55331A|#948902|#A79E82|#D5D701,37.5292,33.8377,32.2082,30.3598,28.3277,49.6356,32.0988
3843,Brown|Tan|Lime Green|Orange,#55331A|#A79E82|#D5D701|#F67405,37.5292,33.8377,32.2082,30.3598,28.3277,49.6356,32.0988
3844,Brown|Tan|Lime Green|Yellow,#55331A|#A79E82|#D5D701|#FFE800,37.5292,33.8377,32.2082,30.3598,28.3277,49.6356,32.0988
3845,Polymaker Teal|Lime Green|Red|Yellow,#4CC0C7|#D5D701|#E72F1D|#FFE800,38.1381,34.2365,32.3156,29.9672,27.2011,50.1097,32.1019
